,freight_value,order_purchase_timestamp,order_delivered_customer_date,product_category_name
0,17.87,2018-01-14 14:33:31,2018-01-22 13:19:16,moveis_decoracao
1,11.65,2018-03-19 18:40:33,2018-03-29 18:17:31,beleza_saude
2,8.88,2018-03-24 22:16:10,2018-03-29 00:04:19,beleza_saude
3,23.32,2018-07-24 17:04:17,2018-07-31 01:04:15,cama_mesa_banho
4,27.65,2018-08-14 20:43:09,2018-08-22 12:02:27,esporte_lazer
5,13.71,2017-08-12 10:08:57,2017-08-19 15:22:17,esporte_lazer
6,8.88,2018-03-23 19:48:26,2018-03-27 14:51:47,cama_mesa_banho
7,16.98,2017-08-06 00:42:49,2017-08-16 17:29:59,esporte_lazer
8,25.51,2017-03-23 12:21:17,2017-04-07 15:32:47,moveis_decoracao
9,17.32,2017-12-05 23:40:59,2017-12-20 22:46:28,moveis_decoracao
10,23.35,2018-04-07 18:51:22,2018-04-25 23:38:41,moveis_decoracao
11,15.1,2017-10-16 15:29:43,2017-10-27 18:43:56,esporte_lazer
12,15.1,2017-10-16 15:29:43,2017-10-27 18:43:56,esporte_lazer
13,15.1,2017-10-16 15:29:43,2017-10-27 18:43:56,esporte_lazer
14,16.11,2018-01-16 09:26:39,2018-01-23 20:19:04,cama_mesa_banho
15,44.29,2017-04-06 22:16:10,2017-05-23 08:32:07,informatica_acessorios
16,19.95,2018-03-06 06:40:28,2018-03-16 22:34:53,moveis_decoracao
17,13.01,2018-03-26 17:42:53,2018-04-06 18:36:23,informatica_acessorios
18,13.71,2017-11-24 19:19:18,2017-12-22 18:37:40,cama_mesa_banho
19,7.78,2017-05-14 17:19:44,2017-05-26 13:14:50,beleza_saude
20,7.78,2017-05-14 17:19:44,2017-05-26 13:14:50,beleza_saude
21,18.0,2017-01-28 13:17:57,2017-02-13 13:17:47,cama_mesa_banho
22,18.21,2017-03-18 11:47:37,2017-03-28 14:23:33,informatica_acessorios
23,15.2,2018-05-19 10:29:23,2018-06-04 18:08:23,beleza_saude
24,21.05,2017-11-28 09:32:49,2017-12-02 12:27:33,moveis_decoracao
25,15.1,2017-08-15 02:45:18,2017-08-24 19:19:56,moveis_decoracao
26,16.49,2018-03-31 16:41:54,2018-04-05 19:02:44,esporte_lazer
27,14.1,2017-12-27 17:52:11,2018-01-04 13:32:46,informatica_acessorios
28,29.39,2018-07-08 09:17:59,2018-07-31 10:51:58,esporte_lazer
29,21.75,2018-02-27 17:46:23,2018-03-22 19:03:31,informatica_acessorios
30,23.22,2018-02-13 11:47:21,2018-03-16 19:57:52,moveis_decoracao
31,21.62,2018-08-25 00:09:40,2018-08-30 18:34:37,beleza_saude
32,21.11,2018-02-18 18:46:28,2018-03-12 18:15:42,moveis_decoracao
33,34.23,2018-07-02 16:51:47,2018-07-06 18:14:47,moveis_decoracao
34,9.94,2017-09-25 17:39:29,2017-09-27 16:52:40,cama_mesa_banho
35,9.94,2017-09-25 17:39:29,2017-09-27 16:52:40,cama_mesa_banho
36,18.44,2018-08-20 11:06:46,2018-08-30 21:13:48,beleza_saude
37,12.11,2017-08-17 00:57:23,2017-08-28 19:14:03,cama_mesa_banho
38,14.1,2018-02-21 02:46:23,2018-02-26 16:49:02,moveis_decoracao
39,11.85,2018-02-02 19:39:46,2018-02-26 21:36:00,esporte_lazer
40,33.33,2018-07-06 10:37:32,2018-07-21 00:08:29,esporte_lazer
41,8.89,2018-03-17 17:50:30,2018-03-27 22:34:57,informatica_acessorios
42,27.75,2018-08-19 19:43:01,2018-08-27 18:17:49,beleza_saude
43,17.03,2018-02-21 16:59:24,2018-03-28 18:54:53,informatica_acessorios
44,17.03,2018-02-21 16:59:24,2018-03-28 18:54:53,informatica_acessorios
45,34.39,2018-01-22 23:50:35,2018-02-14 23:12:52,informatica_acessorios
46,33.91,2017-05-21 13:13:54,2017-06-02 14:57:49,moveis_decoracao
47,13.84,2017-08-10 16:13:36,2017-08-29 20:03:08,beleza_saude
48,85.97,2017-09-21 22:00:44,2017-10-12 12:29:59,moveis_decoracao
49,8.03,2018-07-04 20:34:26,2018-07-13 02:46:28,beleza_saude
50,11.98,2017-08-02 15:32:46,2017-08-03 18:17:47,esporte_lazer
51,17.89,2018-02-05 18:25:51,2018-02-19 21:39:12,cama_mesa_banho
52,17.89,2018-02-05 18:25:51,2018-02-19 21:39:12,cama_mesa_banho
53,40.37,2018-02-19 21:47:44,2018-03-07 19:38:34,informatica_acessorios
54,13.75,2018-04-10 18:01:04,2018-04-13 23:04:44,beleza_saude
55,14.52,2017-04-09 13:35:38,2017-04-27 16:47:35,informatica_acessorios
56,14.84,2017-04-15 16:35:52,2017-05-03 14:56:08,esporte_lazer
57,16.6,2018-02-21 11:37:24,2018-03-27 21:14:59,informatica_acessorios
58,16.25,2018-03-04 14:40:35,2018-03-20 18:13:37,esporte_lazer
59,13.71,2018-04-27 21:36:27,2018-05-07 19:42:40,cama_mesa_banho
60,16.17,2017-08-27 21:41:16,2017-10-04 10:08:13,moveis_decoracao
61,16.44,2017-09-29 11:24:09,2017-10-05 20:51:12,esporte_lazer
62,13.89,2018-07-18 10:46:09,2018-07-25 21:04:16,informatica_acessorios
63,7.39,2018-08-13 13:59:20,2018-08-15 22:18:36,esporte_lazer
64,12.79,2018-03-22 22:52:46,2018-04-05 19:18:35,beleza_saude
65,10.96,2017-04-24 10:53:12,2017-05-06 11:48:40,esporte_lazer
66,14.83,2017-06-28 23:31:33,2017-07-17 18:35:36,beleza_saude
67,82.86,2017-11-06 15:42:42,2017-11-21 19:04:54,moveis_decoracao
68,7.39,2018-05-03 18:55:20,2018-05-08 20:58:26,esporte_lazer
69,13.95,2018-04-24 10:37:50,2018-04-26 18:38:54,cama_mesa_banho
70,18.69,2017-09-23 08:32:53,2017-10-04 15:32:47,cama_mesa_banho
71,15.1,2017-11-24 13:05:15,2017-12-06 22:38:40,esporte_lazer
72,16.11,2018-02-03 17:46:53,2018-02-14 20:27:04,moveis_decoracao
73,10.7,2018-02-14 22:19:37,2018-02-19 18:49:01,informatica_acessorios
74,17.95,2017-11-08 13:38:11,2017-11-22 19:33:00,cama_mesa_banho
75,15.24,2017-07-05 13:14:26,2017-07-18 12:34:02,cama_mesa_banho
76,23.13,2018-03-14 23:57:00,2018-05-04 22:22:18,informatica_acessorios
77,16.69,2017-05-14 17:19:43,2017-05-23 15:05:29,esporte_lazer
78,18.23,2018-05-11 19:20:54,2018-06-05 14:18:36,informatica_acessorios
79,18.23,2018-04-02 09:33:25,2018-05-03 16:11:53,beleza_saude
80,13.0,2018-04-29 20:26:41,2018-05-08 17:14:38,beleza_saude
81,9.44,2018-03-04 23:15:49,2018-03-09 20:27:41,informatica_acessorios
82,27.39,2018-05-18 20:42:47,2018-05-23 20:53:37,beleza_saude
83,36.85,2018-08-08 07:52:21,2018-08-14 20:05:34,cama_mesa_banho
84,8.74,2018-03-20 20:31:23,2018-03-23 18:04:16,cama_mesa_banho
85,15.56,2017-02-22 10:37:41,2017-03-03 12:43:46,beleza_saude
86,39.41,2018-01-24 22:05:42,2018-02-05 16:04:17,esporte_lazer
87,12.44,2017-10-24 15:15:58,2017-12-06 18:41:34,informatica_acessorios
88,8.59,2018-08-23 14:41:37,2018-08-28 15:58:56,informatica_acessorios
89,47.4,2018-06-14 09:08:47,2018-06-26 16:36:44,cama_mesa_banho
90,21.49,2017-09-19 18:05:34,2017-10-02 18:06:44,cama_mesa_banho
91,18.23,2018-03-15 12:33:45,2018-03-28 20:44:41,cama_mesa_banho
92,18.23,2018-03-15 12:33:45,2018-03-28 20:44:41,cama_mesa_banho
